feature,mean_abs_shap
target_lag1,0.48959222
repo_lag1,0.21052814
rates_I7496_17,0.19458851
spread_wacmr_minus_repo,0.07247135
rates_I7496_20,0.058473323
target_lag2,0.05046515
repo_lag4,0.04950689
rates_I7496_27,0.04073527
target_lag4,0.02237825
rates_I7496_18,0.020678442
rates_I7496_29,0.017343052
rates_I7496_6,0.016942319
rates_I7496_28,0.016193483
rates_I7496_21,0.013620191
la_I7492_15,0.011235075
tb_I7504_8_364d,0.009991257
repo_lag2,0.008073343
spread_cp_minus_repo,0.0059147747
cp_I7505_6,0.005143127
la_I7492_16,0.0049802186
repo_I7498_12,0.0043592216
la_I7492_9,0.0038736807
usdinr_ImpulseMACD,0.0038462498
rates_I7496_32,0.0035724775
repo_I7498_15,0.0033877469
nifty_vol,0.003337924
usdinr_velocity,0.003141121
la_I7492_25,0.0031305042
la_I7492_20,0.002960753
agg_I7494_6,0.0029051085
usdinr_TSIs,0.0026894421
la_I7492_19,0.0026316296
la_I7492_6,0.0025033772
repo_I7498_13,0.002451143
la_I7492_10,0.0023690674
tb_I7504_10_182d,0.002302377
tb_I7504_8_91d,0.0022533992
usdinr_TSI,0.001932471
la_I7492_8,0.0019211652
gsec_I7503_6,0.0019052136
cpi_I7500_5,0.0016586796
usdinr_smooth_velocity,0.0015253691
rates_I7496_30,0.0014602413
la_I7492_31,0.0014295467
tb_I7504_7_91d,0.0014042672
la_I7492_7,0.0013683159
la_I7492_18,0.0012351248
repo_I7498_6,0.0012318887
la_I7492_23,0.0010938937
cp_I7505_5,0.0010351894
tb_I7504_10_91d,0.0010202683
usdinr_psi,0.001002365
repo_I7498_17,0.0009907618
usdinr_ImpulseMACDCDSignal,0.0009814153
tb_I7504_9_182d,0.0009475436
nifty_ImpulseHisto,0.000899962
cp_I7505_7,0.0008999323
gsec_I7503_7,0.0008407661
nifty_TSIs,0.0008064652
nifty_into,0.0008043294
rates_I7496_31,0.00079677545
repo_I7498_14,0.0007889155
nifty_psi,0.00077556615
la_I7492_27,0.0007656415
tb_I7504_9_364d,0.00074082415
la_I7492_12,0.0007301295
rates_I7496_33,0.00070747535
rates_I7496_35,0.0006768832
gsec_I7503_10,0.0006640606
repo_I7498_9,0.0006405877
nifty_ImpulseMACDCDSignal,0.00063311105
rates_I7496_34,0.00056741526
repo_I7498_10,0.0005537997
nifty_ImpulseMACD,0.00053540856
la_I7492_22,0.0005287615
usdinr_intc,0.00052602467
nifty_velocity,0.00049913005
la_I7492_13,0.00048031867
nifty_smooth_velocity,0.00047433004
la_I7492_38,0.000466841
tb_I7504_10_364d,0.0004636275
agg_I7494_5,0.0004448212
la_I7492_37,0.00044202642
usdinr_ImpulseHisto,0.00041857464
tb_I7504_8_182d,0.00041313708
la_I7492_14,0.000405529
tb_I7504_9_91d,0.0003703101
nifty_TSI,0.0003598766
gsec_I7503_9,0.0003210351
cp_I7505_8,0.00031510537
tb_I7504_7_364d,0.00029439214
nifty_intc,0.00027299847
repo_I7498_11,0.00026026976
cpi_I7500_11,0.00025623786
nifty_intl,0.00025354518
nifty_inth,0.00023223118
usdinr_into,0.00022984506
cpi_I7500_4,0.00021935617
agg_I7494_7,0.00020829351
usdinr_inth,0.0002059163
repo_I7498_7,0.00020023859
gsec_I7503_8,0.0001937299
tb_I7504_7_182d,0.00014440253
repo_I7498_8,0.00011060649
repo_I7498_16,0.0001041658
cpi_I7500_12,0.00010000281
la_I7492_21,8.9106776e-05
cpi_I7500_9,8.8321285e-05
cpi_I7500_6,8.625058e-05
cpi_I7500_10,8.3346815e-05
usdinr_intl,8.206916e-05
la_I7492_36,4.2106512e-05
rates_I7496_5,2.5750916e-05
usdinr_STX,0.0
usdinr_vol,0.0
nifty_STX,0.0
spread_msf_minus_repo,0.0
